2013-01-11T18:26:26.971+0900: 55.467: [GC 55.467: [ParNew: 327544K->865K(368640K), 0.0036760 secs] 327544K->865K(1187840K), 0.0037420 secs] [Times: user=0.00 sys=0.01, real=0.01 secs] 
2013-01-11T18:26:42.167+0900: 70.663: [GC 70.663: [ParNew: 327900K->2153K(368640K), 0.0027020 secs] 327900K->2153K(1187840K), 0.0027690 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2013-01-11T18:27:02.377+0900: 90.873: [GC 90.873: [ParNew: 328307K->1930K(368640K), 0.0016340 secs] 328307K->1930K(1187840K), 0.0016760 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2013-01-11T18:27:17.580+0900: 106.076: [GC 106.076: [ParNew: 329610K->1504K(368640K), 0.0013290 secs] 329610K->1504K(1187840K), 0.0013700 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2013-01-11T18:27:22.768+0900: 111.264: [GC 111.264: [ParNew: 326317K->3106K(368640K), 0.0036040 secs] 326317K->3349K(1187840K), 0.0039930 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2013-01-11T18:27:32.971+0900: 121.467: [GC 121.467: [ParNew: 328328K->2598K(368640K), 0.0016450 secs] 328571K->2841K(1187840K), 0.0016840 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2013-01-11T18:27:43.169+0900: 131.665: [GC 131.665: [ParNew: 330194K->2179K(368640K), 0.0012370 secs] 330437K->2423K(1187840K), 0.0012750 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2013-01-11T18:27:53.362+0900: 141.858: [GC 141.858: [ParNew: 329351K->1674K(368640K), 0.0010040 secs] 329595K->1918K(1187840K), 0.0010440 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2013-01-11T18:28:03.554+0900: 152.050: [GC 152.050: [ParNew: 329306K->950K(368640K), 0.0008650 secs] 329550K->1194K(1187840K), 0.0009050 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2013-01-11T18:28:08.757+0900: 157.253: [GC 157.253: [ParNew: 328382K->1151K(368640K), 0.0007190 secs] 328626K->1395K(1187840K), 0.0011020 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2013-01-11T18:28:13.959+0900: 162.455: [GC 162.455: [ParNew: 328072K->1301K(368640K), 0.0008050 secs] 328316K->1545K(1187840K), 0.0008460 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
